,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
27,"(1, 3, 5, 6, 7, 8, 10, 13, 14, 16, 17, 22, 25, 29, 31, 34, 36, 51, 53, 55, 64, 66, 70, 73, 77, 78, 79)",[-0.14727383 -0.15372201 -0.1803634  -0.17276116 -0.14692828],-0.16020973758219165,"('_BldgType_1', '_GrLivArea', '_OverallQual', '_BuildingAge', '_TotalBsmtSF', '_Functional', '_Electrical', '_LotArea', '_GarageArea', '_OverallCond', '_Neighborhood_9', '_BsmtUnfSF', '_HouseStyle_3', '_Neighborhood_1', '_BsmtQual', '_PavedDrive', '_MSZoning_1', '_HouseStyle_4', '_Exterior_Plywood', '_MasVnrType_Stone', '_Exterior_MetalSd', '_LotConfig_3', '_GarageType_Detchd', '_Neighborhood_2', '_OpenPorchSF', '_Foundation_1', '_MSSubClass_2')",0.01771216388793864,0.013780665245238185,0.006890332622619092
28,"(1, 3, 5, 6, 7, 8, 10, 13, 14, 16, 17, 22, 25, 29, 31, 34, 36, 42, 51, 53, 55, 64, 66, 70, 73, 77, 78, 79)",[-0.17053568 -0.1413698  -0.18518893 -0.16748038 -0.14128563],-0.16117208322572862,"('_BldgType_1', '_GrLivArea', '_OverallQual', '_BuildingAge', '_TotalBsmtSF', '_Functional', '_Electrical', '_LotArea', '_GarageArea', '_OverallCond', '_Neighborhood_9', '_BsmtUnfSF', '_HouseStyle_3', '_Neighborhood_1', '_BsmtQual', '_PavedDrive', '_MSZoning_1', '_GarageFinish', '_HouseStyle_4', '_Exterior_Plywood', '_MasVnrType_Stone', '_Exterior_MetalSd', '_LotConfig_3', '_GarageType_Detchd', '_Neighborhood_2', '_OpenPorchSF', '_Foundation_1', '_MSSubClass_2')",0.022201569635998425,0.01727357543709731,0.008636787718548655
29,"(1, 3, 5, 6, 7, 8, 10, 13, 14, 16, 17, 22, 25, 29, 31, 34, 36, 42, 47, 51, 53, 55, 64, 66, 70, 73, 77, 78, 79)",[-0.17235046 -0.1431353  -0.1783342  -0.17458068 -0.13254797],-0.16018972230596892,"('_BldgType_1', '_GrLivArea', '_OverallQual', '_BuildingAge', '_TotalBsmtSF', '_Functional', '_Electrical', '_LotArea', '_GarageArea', '_OverallCond', '_Neighborhood_9', '_BsmtUnfSF', '_HouseStyle_3', '_Neighborhood_1', '_BsmtQual', '_PavedDrive', '_MSZoning_1', '_GarageFinish', '_MSSubClass_1', '_HouseStyle_4', '_Exterior_Plywood', '_MasVnrType_Stone', '_Exterior_MetalSd', '_LotConfig_3', '_GarageType_Detchd', '_Neighborhood_2', '_OpenPorchSF', '_Foundation_1', '_MSSubClass_2')",0.023970762519426377,0.01865006760570132,0.00932503380285066
30,"(1, 3, 4, 5, 6, 7, 8, 10, 13, 14, 16, 17, 22, 25, 29, 31, 34, 36, 42, 47, 51, 53, 55, 64, 66, 70, 73, 77, 78, 79)",[-0.15667966 -0.14380017 -0.1746049  -0.16506962 -0.14363766],-0.1567584019125283,"('_BldgType_1', '_GrLivArea', '_MSSubClass_3', '_OverallQual', '_BuildingAge', '_TotalBsmtSF', '_Functional', '_Electrical', '_LotArea', '_GarageArea', '_OverallCond', '_Neighborhood_9', '_BsmtUnfSF', '_HouseStyle_3', '_Neighborhood_1', '_BsmtQual', '_PavedDrive', '_MSZoning_1', '_GarageFinish', '_MSSubClass_1', '_HouseStyle_4', '_Exterior_Plywood', '_MasVnrType_Stone', '_Exterior_MetalSd', '_LotConfig_3', '_GarageType_Detchd', '_Neighborhood_2', '_OpenPorchSF', '_Foundation_1', '_MSSubClass_2')",0.015505210183339413,0.012063580285589036,0.006031790142794518
31,"(1, 3, 4, 5, 6, 7, 8, 10, 13, 14, 16, 17, 22, 25, 29, 31, 34, 36, 42, 47, 51, 53, 55, 64, 66, 68, 70, 73, 77, 78, 79)",[-0.15115228 -0.14576121 -0.17625968 -0.16101853 -0.13836888],-0.1545121165023292,"('_BldgType_1', '_GrLivArea', '_MSSubClass_3', '_OverallQual', '_BuildingAge', '_TotalBsmtSF', '_Functional', '_Electrical', '_LotArea', '_GarageArea', '_OverallCond', '_Neighborhood_9', '_BsmtUnfSF', '_HouseStyle_3', '_Neighborhood_1', '_BsmtQual', '_PavedDrive', '_MSZoning_1', '_GarageFinish', '_MSSubClass_1', '_HouseStyle_4', '_Exterior_Plywood', '_MasVnrType_Stone', '_Exterior_MetalSd', '_LotConfig_3', '_MasVnrArea', '_GarageType_Detchd', '_Neighborhood_2', '_OpenPorchSF', '_Foundation_1', '_MSSubClass_2')",0.01689325171346195,0.013143523752357231,0.006571761876178615
32,"(1, 2, 3, 4, 5, 6, 7, 8, 10, 13, 14, 16, 17, 22, 25, 29, 31, 34, 36, 42, 47, 51, 53, 55, 64, 66, 68, 70, 73, 77, 78, 79)",[-0.15550752 -0.13769016 -0.17459426 -0.16520629 -0.13285793],-0.1531712320789217,"('_BldgType_1', '_BldgType_3', '_GrLivArea', '_MSSubClass_3', '_OverallQual', '_BuildingAge', '_TotalBsmtSF', '_Functional', '_Electrical', '_LotArea', '_GarageArea', '_OverallCond', '_Neighborhood_9', '_BsmtUnfSF', '_HouseStyle_3', '_Neighborhood_1', '_BsmtQual', '_PavedDrive', '_MSZoning_1', '_GarageFinish', '_MSSubClass_1', '_HouseStyle_4', '_Exterior_Plywood', '_MasVnrType_Stone', '_Exterior_MetalSd', '_LotConfig_3', '_MasVnrArea', '_GarageType_Detchd', '_Neighborhood_2', '_OpenPorchSF', '_Foundation_1', '_MSSubClass_2')",0.020415830103680456,0.01588420941351282,0.007942104706756409
33,"(1, 2, 3, 4, 5, 6, 7, 8, 10, 13, 14, 16, 17, 22, 25, 29, 31, 34, 36, 42, 47, 51, 53, 55, 58, 64, 66, 68, 70, 73, 77, 78, 79)",[-0.15969641 -0.13516318 -0.17279203 -0.16545797 -0.1312893 ],-0.1528797778724996,"('_BldgType_1', '_BldgType_3', '_GrLivArea', '_MSSubClass_3', '_OverallQual', '_BuildingAge', '_TotalBsmtSF', '_Functional', '_Electrical', '_LotArea', '_GarageArea', '_OverallCond', '_Neighborhood_9', '_BsmtUnfSF', '_HouseStyle_3', '_Neighborhood_1', '_BsmtQual', '_PavedDrive', '_MSZoning_1', '_GarageFinish', '_MSSubClass_1', '_HouseStyle_4', '_Exterior_Plywood', '_MasVnrType_Stone', '_LotShape', '_Exterior_MetalSd', '_LotConfig_3', '_MasVnrArea', '_GarageType_Detchd', '_Neighborhood_2', '_OpenPorchSF', '_Foundation_1', '_MSSubClass_2')",0.021362152555143368,0.016620480430434917,0.00831024021521746
34,"(1, 2, 3, 4, 5, 6, 7, 8, 10, 13, 14, 16, 17, 22, 25, 29, 31, 34, 36, 42, 47, 48, 51, 53, 55, 58, 64, 66, 68, 70, 73, 77, 78, 79)",[-0.15343705 -0.13182783 -0.16682672 -0.15939556 -0.14756936],-0.1518113037070138,"('_BldgType_1', '_BldgType_3', '_GrLivArea', '_MSSubClass_3', '_OverallQual', '_BuildingAge', '_TotalBsmtSF', '_Functional', '_Electrical', '_LotArea', '_GarageArea', '_OverallCond', '_Neighborhood_9', '_BsmtUnfSF', '_HouseStyle_3', '_Neighborhood_1', '_BsmtQual', '_PavedDrive', '_MSZoning_1', '_GarageFinish', '_MSSubClass_1', '_GarageType_Attchd', '_HouseStyle_4', '_Exterior_Plywood', '_MasVnrType_Stone', '_LotShape', '_Exterior_MetalSd', '_LotConfig_3', '_MasVnrArea', '_GarageType_Detchd', '_Neighborhood_2', '_OpenPorchSF', '_Foundation_1', '_MSSubClass_2')",0.015239888205251016,0.011857150772776631,0.005928575386388316
35,"(1, 2, 3, 4, 5, 6, 7, 8, 10, 13, 14, 16, 17, 22, 25, 29, 31, 34, 35, 36, 42, 47, 48, 51, 53, 55, 58, 64, 66, 68, 70, 73, 77, 78, 79)",[-0.16206556 -0.13970809 -0.17242918 -0.16405666 -0.13800738],-0.15525337343394538,"('_BldgType_1', '_BldgType_3', '_GrLivArea', '_MSSubClass_3', '_OverallQual', '_BuildingAge', '_TotalBsmtSF', '_Functional', '_Electrical', '_LotArea', '_GarageArea', '_OverallCond', '_Neighborhood_9', '_BsmtUnfSF', '_HouseStyle_3', '_Neighborhood_1', '_BsmtQual', '_PavedDrive', '_Foundation_3', '_MSZoning_1', '_GarageFinish', '_MSSubClass_1', '_GarageType_Attchd', '_HouseStyle_4', '_Exterior_Plywood', '_MasVnrType_Stone', '_LotShape', '_Exterior_MetalSd', '_LotConfig_3', '_MasVnrArea', '_GarageType_Detchd', '_Neighborhood_2', '_OpenPorchSF', '_Foundation_1', '_MSSubClass_2')",0.017790878968827136,0.013841908252379445,0.006920954126189723
36,"(1, 2, 3, 4, 5, 6, 7, 8, 10, 13, 14, 16, 17, 21, 22, 25, 29, 31, 34, 35, 36, 42, 47, 48, 51, 53, 55, 58, 64, 66, 68, 70, 73, 77, 78, 79)",[-0.17592615 -0.13019089 -0.16745059 -0.16329709 -0.13481405],-0.15433575489260046,"('_BldgType_1', '_BldgType_3', '_GrLivArea', '_MSSubClass_3', '_OverallQual', '_BuildingAge', '_TotalBsmtSF', '_Functional', '_Electrical', '_LotArea', '_GarageArea', '_OverallCond', '_Neighborhood_9', '_ExterQual', '_BsmtUnfSF', '_HouseStyle_3', '_Neighborhood_1', '_BsmtQual', '_PavedDrive', '_Foundation_3', '_MSZoning_1', '_GarageFinish', '_MSSubClass_1', '_GarageType_Attchd', '_HouseStyle_4', '_Exterior_Plywood', '_MasVnrType_Stone', '_LotShape', '_Exterior_MetalSd', '_LotConfig_3', '_MasVnrArea', '_GarageType_Detchd', '_Neighborhood_2', '_OpenPorchSF', '_Foundation_1', '_MSSubClass_2')",0.023577440695790264,0.018344049864477345,0.00917202493223867
